id,scenario_id,question_text,correct_answer,topic,ase_area
34be7550-336c-40fe-bf51-0e2ab3337399,can-bus-network,What is the purpose of the 'remote frame' in a CAN bus network?,A,CAN Bus Frame Types,Electrical and Electronics
3c44c87c-c1ed-43d5-b2de-439c423036ea,can-bus-network,What does the term 'bit rate' refer to in CAN bus networks?,A,CAN Bus Bit Rate,Electrical and Electronics
6bb51b17-8331-42f9-b65a-7217fea83b6c,can-bus-network,Which of the following is NOT a type of CAN bus message frame?,D,CAN Bus Message Frames,Electrical and Electronics
97b5c5e6-99c0-41d7-adc8-8df72e36d04e,can-bus-network,Which of the following is a characteristic feature of CAN bus communication?,D,CAN Bus Communication Characteristics,Electrical and Electronics
cf265ac2-5ada-4ae1-850e-18d3e2838268,can-bus-network,What is the primary function of a CAN bus network in an automotive system?,B,CAN Bus Basics,Electrical and Electronics
d6bf8b93-b79f-4d4c-93db-7b6fbd2c405a,can-bus-network,What is the maximum number of nodes supported by a single CAN bus segment according to ISO 11898-2?,C,CAN Bus Segment Capacity,Electrical and Electronics
d98f12e5-d3d4-4f98-bccd-fbfa27f2e667,can-bus-network,Which of the following is a common issue that can affect CAN bus communication?,B,Common CAN Bus Issues,Electrical and Electronics
ddb7a16a-a043-4f5e-a9c8-74d6da6dd56a,can-bus-network,Which of the following is true about CAN bus error handling?,C,CAN Bus Error Handling,Electrical and Electronics
14cc348b-4960-4924-9d4d-6c0877833da8,charging-system,What could be a reason for a dimming dashboard when starting the engine?,A,Dashboard Dimming Issues,DI
761d4567-e140-4036-bc07-8a226a0223f4,charging-system,Which component in a charging system is responsible for converting AC to DC?,C,Charging System Components,CI
9b71712d-eb90-459e-b6f5-08b60c595664,charging-system,What is the primary function of an alternator in a vehicle?,B,Alternator Function,CI
b21d3852-9a5c-4eb0-897b-8657de665155,charging-system,Which of these is a sign that your charging system might be failing?,C,Signs of Charging System Failure,DI
bd853260-296f-45da-86ca-c89e15eb6392,charging-system,What could be a reason for a charging system to stop working suddenly?,A,Charging System Issues,DI
dc1958e2-5180-46af-9995-2f708bbc0028,charging-system,Which component in a charging system helps regulate the battery's charge and prevent overcharging?,B,Voltage Regulator Function,CI
ef348ec8-5cf1-46a5-b4a6-ab27569637f5,charging-system,What tool would you use to check the voltage output of an alternator?,A,Testing Alternator Output,CI
f111693b-dc96-46a8-aac4-ba5e8ccf2a60,charging-system,Which of these would you check first if a vehicle's battery is not charging properly?,A,Initial Battery Charging Troubleshooting,DI
107a86b6-db71-4f1f-96aa-9a0e65e42635,diesel-aftertreatment,Which sensor monitors the pressure of diesel exhaust fluid (DEF) in the system?,C,Pressure Monitoring,Diagnosis
177cb070-6143-4771-8f07-89e3471c98c7,diesel-aftertreatment,"In a diesel engine, which component is responsible for injecting diesel exhaust fluid (DEF) into the exhaust stream?",C,DEF Injection,Diagnosis
298ea672-0a73-4e5e-a49c-885a52c1066a,diesel-aftertreatment,Which of the following sensors is crucial for monitoring the temperature of diesel exhaust fluid (DEF) before it enters the SCR system?,B,Temperature Monitoring,Diagnosis
5c4b7d97-039a-4fc8-98e7-8d0eff58f6bc,diesel-aftertreatment,Which of the following is a primary function of a diesel exhaust fluid (DEF) in a selective catalytic reduction (SCR) system?,C,SCR Systems,Diagnosis
a92b5139-f90c-4758-b3f0-763a5dfc055e,diesel-aftertreatment,What could be a potential consequence if the diesel exhaust fluid (DEF) level in an SCR system is too low?,D,DEF Level Monitoring,Diagnosis
a9b1d790-3271-493c-9628-e10b9788767d,diesel-aftertreatment,What is the typical concentration of urea in diesel exhaust fluid (DEF)?,B,DEF Concentration,Diagnosis
c202f9cf-c630-4c28-b26e-e7e51cb11779,diesel-aftertreatment,What is the primary component of diesel exhaust fluid (DEF)?,B,DEF Composition,Diagnosis
eb052a08-a98c-4060-a9ee-1be4c5564be6,diesel-aftertreatment,Which of the following is a common symptom when there is an issue with the diesel exhaust fluid (DEF) system in a vehicle?,B,Symptoms of DEF System Issues,Diagnosis
08e95a70-c9f9-47bd-a248-da110634e9d5,electrical-load,What would be a plausible reason for dimming headlights while driving?,B,"automotive charging system load testing, alternator output, voltage drop, ground faults, battery condition",A6 Electrical/Electronic Systems
0c4d83cf-1244-4b81-9939-2e1379c5de7c,electrical-load,"During a voltmeter check while driving, what reading would suggest a weak or failing battery?",C,"automotive charging system load testing, alternator output, voltage drop, ground faults, battery condition",A6 Electrical/Electronic Systems
0e2cfb20-a916-41c6-9d03-f0faa3117ab7,electrical-load,What would be the expected outcome of a battery capacity test if the headlights are dim and flickering?,B,"automotive charging system load testing, alternator output, voltage drop, ground faults, battery condition",A6 Electrical/Electronic Systems
184c3b49-1b48-44f5-8f05-ca67ff5376cc,electrical-load,Which of the following would be a likely test result when checking for voltage drop in the wiring harness?,D,"automotive charging system load testing, alternator output, voltage drop, ground faults, battery condition",A6 Electrical/Electronic Systems
2133fab9-5014-4ead-811f-ccafa9802efb,electrical-load,"During a load test on the charging system while driving, what would indicate an issue with the alternator?",B,"automotive charging system load testing, alternator output, voltage drop, ground faults, battery condition",A6 Electrical/Electronic Systems
4c4d4791-7cbf-4dda-b9f3-3181d6f48a58,electrical-load,What would you expect to see on a scan tool when the headlights are dim and flickering while driving?,D,"automotive charging system load testing, alternator output, voltage drop, ground faults, battery condition",A6 Electrical/Electronic Systems
c3b1bfb3-6411-43b3-9f84-1e77d753af6d,electrical-load,What symptom would you expect to observe if there is a poor ground connection in the electrical system?,C,"automotive charging system load testing, alternator output, voltage drop, ground faults, battery condition",A6 Electrical/Electronic Systems
e7e4f949-a580-416a-bdc8-bfb83d56122e,electrical-load,"During a visual inspection of the electrical system, what would you be looking for to identify potential issues?",D,"automotive charging system load testing, alternator output, voltage drop, ground faults, battery condition",A6 Electrical/Electronic Systems
09a7a1b9-6674-4aab-8161-8cbb95c7c606,hvac-cooling,What is the most reliable method for verifying whether an automotive A/C system contains the manufacturer-specified refrigerant charge?,A,Automotive A/C cooling diagnostics,A7 Heating and Air Conditioning
6c46d6ec-4d9d-4089-877c-34451e9bfd4d,hvac-cooling,You observe that the low-side pressure is abnormally high. What could this indicate?,A,Automotive A/C cooling diagnostics,A7 Heating and Air Conditioning
7d033d4a-c682-4b40-86d9-0e5d22483b2c,hvac-cooling,You find that the condenser is not receiving adequate airflow. What could be causing this?,B,Automotive A/C cooling diagnostics,A7 Heating and Air Conditioning
90267a50-7ccf-4ebe-a189-bc7d5aaafad6,hvac-cooling,"During a diagnostic check, you notice the compressor clutch is not engaging. What could be the most likely cause?",C,Automotive A/C cooling diagnostics,A7 Heating and Air Conditioning
a2247ad5-87cb-4bf3-8019-9255ac441d11,hvac-cooling,You suspect a refrigerant leak. Which of the following would be the most effective method to locate it?,C,Automotive A/C cooling diagnostics,A7 Heating and Air Conditioning
ed6738d8-1fdf-4bd6-98b8-86c533a8064b,hvac-cooling,"During a visual inspection, you notice ice formation on the evaporator core. What is the most probable cause?",D,Automotive A/C cooling diagnostics,A7 Heating and Air Conditioning
f9a9c86b-ae02-4fc2-a2c3-8dff42ffafb0,hvac-cooling,"The air conditioning system is not cooling properly. Upon checking, you find the compressor clutch engages but the blower fan does not operate. What should be your next step?",C,Automotive A/C cooling diagnostics,A7 Heating and Air Conditioning
fd6f3049-79a3-4337-8939-16fdcfd15f61,hvac-cooling,The high-side pressure reading is significantly lower than normal. What does this suggest?,B,Automotive A/C cooling diagnostics,A7 Heating and Air Conditioning
03b38c72-b3a7-45d1-8959-b959f3c98827,intermittent-starting,Which of these could be a reason for an intermittent starting issue in a vehicle's fuel system?,A,Fuel System Issues,Engine Performance
7260416e-5fdb-46d8-9918-d4ef26e4deac,intermittent-starting,What could be a sign of an issue with the fuel injection system causing intermittent starting problems?,B,Fuel Injection System Issues,Engine Performance
7a59afd2-e951-4fc4-9c07-de78a431c189,intermittent-starting,What could be a possible reason for an engine to intermittently start and stop while driving?,A,Engine Issues,Electrical System
940adc45-3e9a-4629-945c-c85b51ed5f3b,intermittent-starting,Which of the following could be a symptom of an intermittent starting issue in a vehicle?,B,Engine Starting Issues,Engine Performance
adaf5611-dbfe-4cff-a89c-9ff90e94ff9c,intermittent-starting,What is a common sign of an issue with the ignition system causing intermittent starting problems?,B,Ignition System Issues,Engine Performance
b6509bda-a089-44ca-be05-a599a553b63d,intermittent-starting,Which diagnostic tool would be most useful in identifying an intermittent starting issue?,B,Diagnostic Tools,Engine Performance
e346e37f-2ce4-496e-9e07-9bccdb07cf01,intermittent-starting,What could be a sign of a weak battery causing intermittent starting problems?,C,Battery Issues,Electrical System
f528a7c9-7b21-4c96-a1e6-08b3adf7891c,intermittent-starting,Which of these could be a sign of an issue with the starter motor causing intermittent starting problems?,B,Starter Motor Issues,Engine Performance
186cfea7-490d-4d88-80d3-829a4983642d,misfire,What is a common cause of multiple cylinder misfire?,C,Engine Components and Troubleshooting,L1
5ac13e61-34bd-4ce2-9a0a-afc3455e88b7,misfire,What could be a reason for a single cylinder misfire?,C,Engine Components and Troubleshooting,L1
5e3dcecf-76f8-4a30-b7f8-deb66ca01274,misfire,What could be a symptom of misfire in an engine?,B,Engine Diagnosis,L1
61405c74-e89a-41dd-a0a9-220d613476b6,misfire,Which diagnostic tool feature would you use to check for misfire codes?,B,Diagnostic Tools and Procedures,L1
6588a745-b468-42fa-87f1-d49fecb8f9f2,misfire,"What could cause a misfire that only occurs under certain driving conditions, such as high speed or heavy load?",C,Engine Performance and Troubleshooting,L1
7ae7a25b-1567-480f-bd60-295e2f246a00,misfire,Which of the following would indicate a misfire in an engine?,C,Engine Symptoms and Diagnosis,L1
b014619a-bab2-435c-b09b-10c44dc5e3e8,misfire,Which of the following is a potential consequence of misfire in an engine?,C,Engine Performance and Consequences,L1
d6657f0b-1f47-4b10-94b5-6550e9c01881,misfire,Which sensor is most likely to be checked first when diagnosing a misfire issue?,A,Engine Sensors and Diagnostics,L1
03badec9-ec59-4215-a6df-62dcdec812d8,misfire-9,Which diagnostic code would indicate a misfire on an OBD-II scanner?,A,OBD-II diagnostic codes,L
37a0b81f-b632-452d-a38b-073724fff824,misfire-9,Which component is directly responsible for igniting the fuel mixture in a spark-ignition engine?,B,Engine ignition system,L
67bd09fa-3db4-4114-9f62-6ab786cc1515,misfire-9,Which of the following is a common cause of misfire in modern engines?,D,Engine misfire causes,L
726f808e-2d36-415f-8174-af1a8ab199fd,misfire-9,What could be a reason for misfires in an engine?,A,Engine diagnostics,L
8201e553-b899-428f-bb7e-76e0ef30ca87,misfire-9,What tool would you use to diagnose a misfire in an engine?,B,Diagnostic tools and techniques,L
9d3401b5-370d-40bc-8ecf-d6a441c544c0,misfire-9,What is the first step in diagnosing a misfire?,C,Engine diagnostics process,L
bfe93df3-eb3c-48e6-8e15-9b66a86e50d6,misfire-9,Which of these is a symptom of misfire in an engine?,C,Engine performance issues,L
e71daacf-18b2-44a9-bb04-3639a88aba7a,misfire-9,What could be the consequence of not addressing a misfire issue?,B,Consequences of misfire,L
3f1ecf92-3245-4a06-b601-136479bcb919,no-crank,Which of these would be a less likely cause for no cranking in an older vehicle?,C,Engine Starting Issues,Electrical and Electrical Components
a2a4aba4-442b-42ce-90bb-099bf3311795,no-crank,"If a vehicle's starter motor is working but still no cranking occurs, what should be your next step?",D,Engine Starting Issues,Mechanical Components
d30d1808-b5a8-41ac-a09d-d8e408d0de1b,no-crank,What should you check first if your vehicle does not crank when trying to start it?,B,Engine Starting Issues,Electrical and Electrical Components
d347df95-6372-471b-9b1c-03b110ba762c,no-crank,Which of these could be a cause for no cranking if the battery is not dead?,A,Engine Starting Issues,Starter System
d4a7902c-46cd-491b-ba18-0c7839513fa8,no-crank,What could be a reason for the engine not cranking when you turn the key?,A,Engine Starting Issues,Electrical and Electrical Components
da87093a-1876-442d-a8ff-0cf7fcb010b3,no-crank,"If you have confirmed that the battery voltage is sufficient, what should be your next step to diagnose a no-crank situation?",B,Engine Starting Issues,Starter System
dfe4f000-1355-49e6-8094-7d06d018817a,no-crank,What could be a reason for no cranking if you have ruled out battery issues?,A,Engine Starting Issues,Electrical and Electrical Components
f98d917c-261b-4369-b88c-8cdbee80aced,no-crank,Which diagnostic tool is most useful for checking if a vehicle's starter motor is functioning properly?,A,Engine Starting Issues,Starter System
00e34bff-6f67-46ce-9ae8-02d4d247cb2b,no-crank-11,Which of the following is a common symptom that could indicate a bad starter motor?,A,Engine Starting Issues,L1
079a4901-2a67-4547-b834-1857ad723e01,no-crank-11,What is the first step in diagnosing a vehicle that won't crank?,B,Engine Starting Issues,L1
